timestamp,signal_id,asset,timeframe,market_slug,token_id,reason,spread,depth_top5,p_market,p_model,edge_net
1771471800000,1771471800000-ETH-Min15,ETH,15m,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771470000000,1771470000000-ETH-Hour1,ETH,1h,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771471800000,1771471800000-ETH-Min15,ETH,15m,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771470000000,1771470000000-ETH-Hour1,ETH,1h,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771471800000,1771471800000-ETH-Min15,ETH,15m,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771470000000,1771470000000-ETH-Hour1,ETH,1h,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771471800000,1771471800000-ETH-Min15,ETH,15m,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771470000000,1771470000000-ETH-Hour1,ETH,1h,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771471800000,1771471800000-ETH-Min15,ETH,15m,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771470000000,1771470000000-ETH-Hour1,ETH,1h,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771471800000,1771471800000-ETH-Min15,ETH,15m,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771470000000,1771470000000-ETH-Hour1,ETH,1h,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771471800000,1771471800000-ETH-Min15,ETH,15m,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771470000000,1771470000000-ETH-Hour1,ETH,1h,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771471800000,1771471800000-ETH-Min15,ETH,15m,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771470000000,1771470000000-ETH-Hour1,ETH,1h,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771471800000,1771471800000-ETH-Min15,ETH,15m,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771470000000,1771470000000-ETH-Hour1,ETH,1h,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771471800000,1771471800000-ETH-Min15,ETH,15m,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771470000000,1771470000000-ETH-Hour1,ETH,1h,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771471800000,1771471800000-ETH-Min15,ETH,15m,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771470000000,1771470000000-ETH-Hour1,ETH,1h,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771471800000,1771471800000-ETH-Min15,ETH,15m,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771470000000,1771470000000-ETH-Hour1,ETH,1h,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771471800000,1771471800000-ETH-Min15,ETH,15m,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771470000000,1771470000000-ETH-Hour1,ETH,1h,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771471800000,1771471800000-ETH-Min15,ETH,15m,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771470000000,1771470000000-ETH-Hour1,ETH,1h,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771471800000,1771471800000-ETH-Min15,ETH,15m,,,price_stale,0.0,0.0,0.0,0.0,0.0
1771470000000,1771470000000-ETH-Hour1,ETH,1h,,,price_stale,0.0,0.0,0.0,0.0,0.0
